"SampleID","Year","FireYear","Position","Feature"
"1","EFK01A",1591,NA,"Not Applicable","Innermost ring"
"2","EFK01A",1592,"1592","unknown","Fire scar"
"3","EFK01A",1623,"1623","dormant","Fire scar"
"4","EFK01A",1724,"1724","unknown","Fire scar"
"5","EFK01A",1736,"1736","dormant","Fire scar"
"6","EFK01A",1778,"1778","Middle earlywood","Fire scar"
"7","EFK01A",1832,"1832","unknown","Fire scar"
"8","EFK01A",1861,"1861","unknown","Fire scar"
"9","EFK01A",1873,"1873","Middle earlywood","Fire scar"
"10","EFK01A",1899,"1899","dormant","Fire scar"
"11","EFK01A",1905,NA,"Not Applicable","Outermost ring"
"12","EFK02A",1431,NA,"Not Applicable","pith"
"13","EFK02A",1483,"1483","unknown","Fire scar"
"14","EFK02A",1504,"1504","unknown","Fire scar"
"15","EFK02A",1517,"1517","unknown","Fire scar"
"16","EFK02A",1520,"1520","unknown","Fire scar"
"17","EFK02A",1530,"1530","unknown","Fire scar"
"18","EFK02A",1539,"1539","unknown","Fire scar"
"19","EFK02A",1560,"1560","unknown","Fire scar"
"20","EFK02A",1587,"1587","early earlywood","Fire scar"
"21","EFK03A",1538,NA,"Not Applicable","Innermost ring"
"22","EFK03A",1643,"1643","Middle earlywood","Fire scar"
"23","EFK03A",1658,NA,"dormant","Undetermined scar"
"24","EFK03A",1664,NA,"unknown","Undetermined scar"
"25","EFK03A",1668,NA,"unknown","Undetermined scar"
"26","EFK03A",1682,NA,"unknown","Undetermined scar"
"27","EFK03A",1691,"1691","dormant","Fire scar"
"28","EFK03A",1696,"1696","late earlywood","Fire scar"
"29","EFK03A",1704,"1704","Middle earlywood","Fire scar"
"30","EFK03A",1709,NA,"dormant","Undetermined scar"
"31","EFK03A",1716,"1716","dormant","Fire scar"
"32","EFK03A",1724,"1724","early earlywood","Fire scar"
"33","EFK03A",1736,"1736","dormant","Fire scar"
"34","EFK03A",1745,"1745","Middle earlywood","Fire scar"
"35","EFK03A",1810,"1810","early earlywood","Fire scar"
"36","EFK03A",1848,NA,"Not Applicable","Outermost ring"
"37","EFK04A",1494,NA,"Not Applicable","Innermost ring"
"38","EFK04A",1643,"1643","dormant","Fire scar"
"39","EFK04A",1658,"1658","Middle earlywood","Fire scar"
"40","EFK04A",1664,"1664","Middle earlywood","Fire scar"
"41","EFK04A",1668,"1668","Middle earlywood","Fire scar"
"42","EFK04A",1691,"1691","dormant","Fire scar"
"43","EFK04A",1696,"1696","latewood","Fire scar"
"44","EFK04A",1704,"1704","Middle earlywood","Fire scar"
"45","EFK04A",1770,NA,"Not Applicable","Outermost ring"
"46","EFK05A",1618,NA,"Not Applicable","Innermost ring"
"47","EFK05A",1704,"1704","Middle earlywood","Fire scar"
"48","EFK05A",1724,"1724","early earlywood","Fire scar"
"49","EFK05A",1729,"1729","unknown","Fire scar"
"50","EFK05A",1736,"1736","dormant","Fire scar"
"51","EFK05A",1738,"1738","Middle earlywood","Fire scar"
"52","EFK05A",1745,"1745","Middle earlywood","Fire scar"
"53","EFK05A",1763,"1763","Middle earlywood","Fire scar"
"54","EFK05A",1806,"1806","dormant","Fire scar"
"55","EFK05A",1842,"1842","unknown","Fire scar"
"56","EFK06A",1657,NA,"Not Applicable","Innermost ring"
"57","EFK06A",1658,"1658","dormant","Fire scar"
"58","EFK06A",1668,"1668","unknown","Fire scar"
"59","EFK06A",1681,"1681","late earlywood","Fire scar"
"60","EFK06A",1684,"1684","dormant","Fire scar"
"61","EFK06A",1691,"1691","late earlywood","Fire scar"
"62","EFK06A",1696,"1696","late earlywood","Fire scar"
